PROVINCIA;CANTON;POBLACION
AZUAY;CUENCA;636996
AZUAY;GIRON;13037
AZUAY;GUALACEO;49104
AZUAY;NABON;17292
AZUAY;PAUTE;29214
AZUAY;PUCARA;10584
AZUAY;SAN FERNANDO;4156
AZUAY;SANTA ISABEL;20935
AZUAY;SIGSIG;30509
AZUAY;O헤;4128
AZUAY;CHORDELEG;15176
AZUAY;EL PAN;3091
AZUAY;SEVILLA DE ORO;6890
AZUAY;GUACHAPALA;3859
AZUAY;CAMILO PONCE ENRIQUEZ;36423
BOLIVAR;GUARANDA;108763
BOLIVAR;CHILLANES;16850
BOLIVAR;CHIMBO;17378
BOLIVAR;ECHEANDIA;14081
BOLIVAR;SAN MIGUEL;29004
BOLIVAR;CALUMA;16429
BOLIVAR;LAS NAVES;7428
CA헤R;AZOGUES;86276
CA헤R;BIBLIAN;23741
CA헤R;CA헤R;68747
CA헤R;LA TRONCAL;76872
CA헤R;EL TAMBO;12462
CA헤R;DELEG;6782
CA헤R;SUSCAL;6516
CARCHI;TULCAN;102395
CARCHI;BOLIVAR;15528
CARCHI;ESPEJO;13817
CARCHI;MIRA;11969
CARCHI;MONTUFAR;34229
CARCHI;SAN PEDRO DE HUACA;8931
COTOPAXI;LATACUNGA;205624
COTOPAXI;LA MANA;56905
COTOPAXI;PANGUA;24612
COTOPAXI;PUJILI;79772
COTOPAXI;SALCEDO;67100
COTOPAXI;SAQUISILI;31426
COTOPAXI;SIGCHOS;23277
CHIMBORAZO;RIOBAMBA;264048
CHIMBORAZO;ALAUSI;45054
CHIMBORAZO;COLTA;44838
CHIMBORAZO;CHAMBO;13378
CHIMBORAZO;CHUNCHI;12795
CHIMBORAZO;GUAMOTE;58291
CHIMBORAZO;GUANO;48395
CHIMBORAZO;PALLATANGA;12277
CHIMBORAZO;PENIPE;6955
CHIMBORAZO;CUMANDA;17973
EL ORO;MACHALA;289141
EL ORO;ARENILLAS;33473
EL ORO;ATAHUALPA;6436
EL ORO;BALSAS;9233
EL ORO;CHILLA;2379
EL ORO;EL GUABO;63645
EL ORO;HUAQUILLAS;60440
EL ORO;MARCABELI;6259
EL ORO;PASAJE;87723
EL ORO;PI헤S;30206
EL ORO;PORTOVELO;14028
EL ORO;SANTA ROSA;82171
EL ORO;ZARUMA;25654
EL ORO;LAS LAJAS;4963
ESMERALDAS;ESMERALDAS;218727
ESMERALDAS;ELOY ALFARO;45629
ESMERALDAS;MUISNE;31106
ESMERALDAS;QUININDE;145879
ESMERALDAS;SAN LORENZO;62772
ESMERALDAS;ATACAMES;55495
ESMERALDAS;RIO VERDE;31475
GUAYAS;GUAYAQUIL;2723665
GUAYAS;ALFREDO BAQUERIZO MORENO;32110
GUAYAS;BALAO;26348
GUAYAS;BALZAR;60260
GUAYAS;COLIMES;26169
GUAYAS;DAULE;173684
GUAYAS;DURAN;315724
GUAYAS;EL EMPALME;86073
GUAYAS;EL TRIUNFO;59636
GUAYAS;MILAGRO;199835
GUAYAS;NARANJAL;95052
GUAYAS;NARANJITO;43862
GUAYAS;PALESTINA;18451
GUAYAS;PEDRO CARBO;51802
GUAYAS;SAMBORONDON;102404
GUAYAS;SANTA LUCIA;45004
GUAYAS;SALITRE;65765
GUAYAS;SAN JACINTO DE YAGUACHI;78204
GUAYAS;PLAYAS;59628
GUAYAS;SIMON BOLIVAR;32224
GUAYAS;CORONEL MARCELINO MARIDUE헤;13132
GUAYAS;LOMAS DE SARGENTILLO;24220
GUAYAS;NOBOL;26444
GUAYAS;GENERAL ANTONIO ELIZALDE;13156
GUAYAS;ISIDRO AYORA;14582
IMBABURA;IBARRA;221149
IMBABURA;ANTONIO ANTE;54311
IMBABURA;COTACACHI;44203
IMBABURA;OTAVALO;125785
IMBABURA;PIMAMPIRO;13269
IMBABURA;SAN MIGUEL DE URCUQUI;17540
LOJA;LOJA;274112
LOJA;CALVAS;29565
LOJA;CATAMAYO;35961
LOJA;CELICA;16160
LOJA;CHAHUARPAMBA;6620
LOJA;ESPINDOLA;14209
LOJA;GONZANAMA;10953
LOJA;MACARA;20269
LOJA;PALTAS;23471
LOJA;PUYANGO;15925
LOJA;SARAGURO;33506
LOJA;SOZORANGA;7121
LOJA;ZAPOTILLO;14325
LOJA;PINDAL;10540
LOJA;QUILANGA;4197
LOJA;OLMEDO;4220
LOS RIOS;BABAHOYO;175281
LOS RIOS;BABA;43429
LOS RIOS;MONTALVO;28720
LOS RIOS;PUEBLO VIEJO;44725
LOS RIOS;QUEVEDO;213842
LOS RIOS;URDANETA;32618
LOS RIOS;VENTANAS;75146
LOS RIOS;VINCES;82329
LOS RIOS;PALENQUE;23638
LOS RIOS;BUENA FE;83654
LOS RIOS;VALENCIA;54637
LOS RIOS;MOCACHE;43316
LOS RIOS;QUINSALOMA;20428
MANABI;PORTOVIEJO;321800
MANABI;BOLIVAR;45493
MANABI;CHONE;131002
MANABI;EL CARMEN;111344
MANABI;FLAVIO ALFARO;23822
MANABI;JIPIJAPA;74645
MANABI;JUNIN;18820
MANABI;MANTA;264281
MANABI;MONTECRISTI;107785
MANABI;PAJAN;37093
MANABI;PICHINCHA;29599
MANABI;ROCAFUERTE;37312
MANABI;SANTA ANA;48152
MANABI;SUCRE;62443
MANABI;TOSAGUA;42297
MANABI;24 DE MAYO;28514
MANABI;PEDERNALES;63441
MANABI;OLMEDO;10194
MANABI;PUERTO LOPEZ;24688
MANABI;JAMA;26116
MANABI;JARAMIJO;28439
MANABI;SAN VICENTE;24799
MORONA SANTIAGO;MORONA;58281
MORONA SANTIAGO;GUALAQUIZA;19555
MORONA SANTIAGO;LIMON - INDANZA;10349
MORONA SANTIAGO;PALORA;7719
MORONA SANTIAGO;SANTIAGO;11087
MORONA SANTIAGO;SUCUA;23823
MORONA SANTIAGO;HUAMBOYA;12382
MORONA SANTIAGO;SAN JUAN BOSCO;4985
MORONA SANTIAGO;TAISHA;26773
MORONA SANTIAGO;LOGRO헲;7643
MORONA SANTIAGO;PABLO SEXTO;2897
MORONA SANTIAGO;TIWINTZA;11041
NAPO;TENA;79182
NAPO;ARCHIDONA;33068
NAPO;EL CHACO;10142
NAPO;QUIJOS;6847
NAPO;CARLOS JULIO AROSEMENA TOLA;4466
PASTAZA;PASTAZA;84377
PASTAZA;MERA;17547
PASTAZA;SANTA CLARA;4150
PASTAZA;ARAJUNO;8128
PICHINCHA;QUITO;2781641
PICHINCHA;CAYAMBE;107660
PICHINCHA;MEJIA;108167
PICHINCHA;PEDRO MONCAYO;43281
PICHINCHA;RUMI헤HUI;115433
PICHINCHA;SAN MIGUEL DE LOS BANCOS;29969
PICHINCHA;PEDRO VICENTE MALDONADO;17171
PICHINCHA;PUERTO QUITO;24911
TUNGURAHUA;AMBATO;387309
TUNGURAHUA;BA헲S DE AGUA SANTA;25043
TUNGURAHUA;CEVALLOS;9936
TUNGURAHUA;MOCHA;7336
TUNGURAHUA;PATATE;15825
TUNGURAHUA;QUERO;20627
TUNGURAHUA;SAN PEDRO DE PELILEO;66836
TUNGURAHUA;SANTIAGO DE PILLARO;43371
TUNGURAHUA;TISALEO;14317
ZAMORA CHINCHIPE;ZAMORA;32761
ZAMORA CHINCHIPE;CHINCHIPE;10679
ZAMORA CHINCHIPE;NANGARITZA;8014
ZAMORA CHINCHIPE;YACUAMBI;7121
ZAMORA CHINCHIPE;YANTZAZA;26447
ZAMORA CHINCHIPE;EL PANGUI;10945
ZAMORA CHINCHIPE;CENTINELA DEL CONDOR;8313
ZAMORA CHINCHIPE;PALANDA;10144
ZAMORA CHINCHIPE;PAQUISHA;5992
GALAPAGOS;SAN CRISTOBAL;9667
GALAPAGOS;ISABELA;3073
GALAPAGOS;SANTA CRUZ;20302
SUCUMBIOS;LAGO AGRIO;119594
SUCUMBIOS;GONZALO PIZARRO;10007
SUCUMBIOS;PUTUMAYO;16106
SUCUMBIOS;SHUSHUFINDI;57949
SUCUMBIOS;SUCUMBIOS;3811
SUCUMBIOS;CASCALES;15882
SUCUMBIOS;CUYABENO;7154
ORELLANA;ORELLANA;93778
ORELLANA;AGUARICO;3629
ORELLANA;LA JOYA DE LOS SACHAS;39352
ORELLANA;LORETO;24579
SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;458580
SANTO DOMINGO DE LOS TSACHILAS;LA CONCORDIA;52571
SANTA ELENA;SANTA ELENA;188821
SANTA ELENA;LA LIBERTAD;117767
SANTA ELENA;SALINAS;94590
